# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\enemies-3.png	0	130	130
70	textures\Background_Main.png	156	252	240
80	textures\Background.png	76	220	72
90	textures\world-1-1n.png	76	220	72
100	textures\mario-left.png	255	255	255
110	textures\mario-right.png	255	255	255	
120	textures\misc2.png	166	185	255
130	textures\misc3.png	166	185	255
140	textures\flower_left.png	255	255	255
150	textures\flower_right.png	255	255	255
160	textures\mairuanguahoisinh.png	0	255	255
#############################################################################################
# id	left	top	right	bottom	texture_id
[SPRITES]
#BACK_ground
1	13	14	2848	720	80
222	353	368	385	417	70
#top brick
801	0	417	17	434	80
#body brick
802	17	417	34	434	80
#tree

===================================	
#coin 
2	303	99	313	115	20
3	322	99	330	115	20
4	341	99	347	115	20
#KOOPAS===================================
#walk left
5	205	191	221	217	30
6	222	191	238	217	30
#walk right
7	187	191	202	217	30
8	170	191	185	217	30
#die
9	256	202	272	218	30
#die and moving
10	256	202	272	218	30
11	273	202	289	218	30
12	290	202	306	218	30
#die up
13	152	202	168	218	30
# FIRE-BALL=============================================== 
14	180	553	188	562	0
15	198	554	206	562	0
16	198	573	206	582	0
17	180	574	188	582	0

# breakable brick ===========================================
18	274	188	290	204	120
19	293	188	309	204	120
20	312	188	328	204	120
21	331	188	347	204	120

# leaf =======================================================
#right
22	233	122	249	136	130	
#left
23	180	123	196	137	120
# Mushroom ===================================================
24	156	121	172	137	120
# effect =============================================
25	455	19	471	35	20
26	475	20	490	35	20
27	491	21	505	35	20
# enemy- flower
#red up left
28	201	126	217	158	140
29	184	126	200	158	140
#red down left
30	150	126	166	158	140
31	167	126	183	158	140
#red up right
32	239	126	255	158	150
33	222	126	238	158	150
#red down right
34	273	126	289	158	150
35	256	126	272	158	150
#green 
#green up left
#36	201	126	217	158	140
#37	184	126	200	158	140
#green down left
#38	150	126	166	158	140
#39	167	126	183	158	140
#green up right
#40	239	126	255	158	150
#41	222	126	238	158	150
#green down right
#42	273	126	289	158	150
#43	256	126	272	158	150
#GOOMPAS===================================
#wide wing
44	393	79	413	103	30
45	414	79	434	103	30
#narrow wing
46	435	84	455	103	30
47	456	84	476	103	30
# breakable brick===========================================
#without ani
48	235	188	251	204	120
#swich block===========================================
#appear
49	156	144	172	160	120
50	178	144	194	160	120
#disappear
51	200	153	216	160	120
#KOOPA_PARATROOPA===================================
#right
52	313	248	329	276	40
53	296	250	312	276	40
54	279	249	295	276	40
55	262	249	278	276	40
#left
56	205	248	221	276	30
57	222	250	238	276	30
58	239	249	255	276	30
59	256	249	272	276	30
#piece of breakable brick=================================
60	484	120	492	128	20
#GOOMBA die by koopa
61	600	341	616	357	160
#para goomba die
62	528	282	544	298	160
# BIG MARIO===================================================
# idle right
10001	246	154	260	181	0
# walk
1002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
#stop left
5015	425	154	441	182	0
#stop right
5001	5	154	21	182	0
#jump up left
8002	35	275	51	301	0
#jump down left
5005	125	155	141	181	0
#jump up right
8014	395	275	411	301	0
#jump down right
5011	305	155	321	181	0
#sit right
7015	426	239	440	257	0
#sit left
7001	6	239	20	257	0
#run left
5002	35	155	54	181	0
5003	65	154	84	181	0
5004	93	154	112	181	0
#run right
5012	334	154	353	181	0
5013	362	154	381	181	0
5014	392	155	411	181	0

# die 
10099	215	120	231	135	0
# SMALL MARIO===============================================
#stop left
1015	426	0	440	16	0
#stop right
1001	6	0	26	14	0
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0
# jump
#up right
3014	395	80	411	96	0
#up left
3002	35	80	51	96	0
#down right
2014	395	40	411	56	0
#down left
2002	35	40	51	56	0

6002	33	195	52	221	0

6014	394	195	413	221	0
#Mario-on-fire===================================
#idle fire right
11009	246	394	260	421	0
#idle fire left
11007	186	394	200	421	0
#walking fire right
11010	275	394	291	421	0
11011	305	395	321	421	0
#walking fire left
11006	155	394	171	421	0
11005	125	395	141	421	0
#FIRE_SIT_RIGHT	
13015	426	479	440	505	0
#FIRE_SIT_LEFT
13001	6	479	20	497	0
#FIRE_JUMP_RIGHT
14014	395 	514	412	542	0
#FIRE_JUMP_LEFT
14002 	34	514	52	542	0
#FIRE_JUMP_DOWN_RIGHT
11011	305	395	321	421	0
#FIRE_JUMP_DOWN_LEFT	
11005	125	395	141	421	0
#Fire stop right
11001	5	394	21	422	0
#fire stop left
11015	425	394	441	422	0
#shoot right
13014	396	474	410	501	0
13013	366	474	380	501	0
13012	336	474	350	501	0
#shoot left
13002	36	474	50	501	0
13003	66	474	80	501	0
13004	96	474	110	501	0
#Mario-with-tail===================================
#idle tail right
17009	80	142	101	170	110
#idle tail left
17007	739	142	760	170	100

#walking tail right
17010	104	142	126	170	110
17011	129	143	152	170	110

#walking tail left
17006	714	142	736	170	100
17005	688	143	711	170	100

#MARIO_ANI_TAIL_SIT_RIGHT
19015	522 	152	544	170	110	
#MARIO_ANI_TAIL_SIT_LEFT		
19001	296	152	318	170	100
#MARIO_ANI_TAIL_JUMP_RIGHT
20014	257	143	280	170	110
#MARIO_ANI_TAIL_JUMP_LEFT
20002	560	143	583	170	100
#MARIO_ANI_TAIL_JUMP_DOWN_RIGHT	
170111	283	143	306	170	110
#MARIO_ANI_TAIL_JUMP_DOWN_LEFT	
170051	534	143	557	170	100
#MARIO_ANI_TAIL_STOP_RIGHT
17001	155 	140	171	170	110
#MARIO_ANI_TAIL_STOP_LEFT
17015	669	140	685	170	100
#MARIO_IDLE_FRONT
17008	650	142	666	170	100
#MARIO_IDLE_BEHIND
18008	605	142	621	170	100
#Frog-mario===================================
#idle frog right
24009	243	916	263	940	0
#idle frog left
24007	183	916	203	940	0
#walking frog right
24010	273	913	293	942	0
24011	304	913	323	942	0
#walking frog left
24006	153	913	173	942	0
24005	123	913	142	942	0

#run small left
81004	95	0	111	16	0
81006	155	0	171	16	0
#run small right
81010	275	0	291	16	0
81012	335	0	351	16	0

#run tail left
17004	456	142	480	170	100
17003	429	142	453	170	100

#run tail right
17012	360	142	384	170	110
17013	414	143	438	170	110

#use tail left
170041	193	142	216	170	110
#use tail right
170121	78	107	101	135	110
#run fire left
11002	35	395	54	421	0
11003	65	394	84	421	0
11004	93	394	112	421	0
#run fire right
11012	334	394	353	421	0
11013	362	394	381	421	0
11014	392	395	411	421	0

#jump -fly tail right
19013	495	142	519	170	110
20013	441	143	465	170	110
#jump-fly tail	left
19003	321	142	345	170	100
20003	375	143	399	170	100

#fall right 
23012	309	143	332	170	110
21013	283	143	306	170	110

#fall left
23004	508	143	531	170	100
21003	534	143	557	170	100

#kick right
20015	641	142	663	170	110
#kick left
200010	177 	142	199	170	100
#Hammer-mario===================================
#idle hammer right
29009	245	1084	261	1112	0
#idle hammer left
29007	185	1084	201	1112	0
#walking hammer right
29010	275	1084	291	1112	0
29011	305	1084	321	1111	0
#walking hammer left
29006	155	1084	171	1112	0
29005	125	1084	141	1111	0
#MARIO_ANI_HAMMER_SIT_RIGHT
31015	425	1170	441	1186	0
#MARIO_ANI_HAMMER_SIT_LEFT
31001	5	1170	21	1186	0	
#MARIO_ANI_HAMMER_JUMP_RIGHT
32014	395	1204	411	1231	0	
#MARIO_ANI_HAMMER_JUMP_LEFT	
32002	35	1204	51	1231	0	
#MARIO_ANI_HAMMER_JUMP_DOWN_RIGHT
29011	305	1084	321	1111	0
#MARIO_ANI_HAMMER_JUMP_DOWN_LEFT	
29005	125	1084	141	1111	0
#MARIO_ANI_HAMMER_STOP_RIGHT
29001	5	1084	21	1112	0
#MARIO_ANI_HAMMER_STOP_LEFT	
29015	425	1084	441	1112	0
#BRICK
20001	408	225	424	241	20

#GOOMBA===================================
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

#brick with no question mark animation
40005	372	117	388	133	20
#############################################################################################
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ====== Background ========
1	1	100
222	222	100

# ==== coin ==========
1001	2	100	3	100	4	100
# ==== breakable brick =====
1002	18	200	19	200	20	200	21	200
999	48	100
# == switch block ==
998	49	50	50	50
997	51	100
#=====Leaf======
#left
1003	23	100
#right
1004	22	100
#====Mushroom====
1005	24	100
# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right big
500	10001	100	1002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100


#idle fire right
9	11009	100
#idle fire left
10	11007	100
#walking fire right
11	11009 	100	11010	100	11011	100
#walking fire left
12	11007	100	11006	100	11005	100


#idle tail right
13	17009	100
#idle tail left
14	17007	100
#walking tail right
15	17009	100	17010	100	17011	100
#walking tail left
16	17007	100	17006	100	17005	100

#idle frog right
17	24009	100
#idle frog left
18	24007	100
#walking frog right
19	24009	100	24010	100	24011	100
#walking frog left
20	24007	100	24006	100	24005	100

#idle hammer right
21	29009	100
#idle hammer left
22	29007	100
#walking hammer right
23	29009	100	29010	100	29011	100
#walking hammer left
24	29007	100	29006	100	29005	100
#stop left small
25	1015	100
#stop right small
26	1001	100
#stop right big
27	5001	100
#stop right left
28	5015	100
#jump up right big
29	8014	100
#jump down right big
31	5011	100
#jump up left big
30	8002	100
#jump down left big
32	5005	100
#sit right big
33	7015	100
#sit left big
34	7001	100
#small jump right
35	3014	100
#small jump left
36	3002	100
#small jump down right
37	2014	100
#small jump down left
38	2002	100
#FIRE_SIT_RIGHT	
39	13015	100
#FIRE_SIT_LEFT
40	13001	100
#FIRE_JUMP_RIGHT
41	14014	100
#FIRE_JUMP_LEFT
42	14002 	100
#FIRE_JUMP_DOWN_RIGHT
43	11011	
#FIRE_JUMP_DOWN_LEFT	
44	11005	100
#Fire stop right
45	11001	100
#fire stop left
46	11015	100
#sit tail right
47	19015	100
#sit tail left
48	19001	100
#jump tail up righ
49	20014	100
#jump tail up left
50	20002	100
#jump tail down right
51	170111	100
#jump tail down left
52	170051	100
#tail stop right
53	17001	100
#tail stop left
54	17015	100

#sit hammer right
55	31015	100
#sit hammer left
56	31001	100
#jump hammer up righ
57	32014	100
#jump hammer up left
58	32002	100
#jump hammer down right
59	29011	100
#jump hammer down left
60	29005	100
#tail hammer right
61	29001	100
#tail hammer left
62	29015	100
#tail use tail left
63	17008	50	170121	100	18008	50	170041	100
#tail use tail right
64	17008	50	170041	100	18008	50	170121	100
#shoot right
65	13014	100	13013	100	13012	100
#shoot left
66	13002	100	13003	100	13004	100
#run right
68	5004	50	5003	50	5002	50
#run left
67	5012	50	5013	50	5014	50
#walk fast BIG right 
69	10001	50	1002	50	10003	50
#walk fast BIG left
70	10011	50	10012	50	10013	50

#small walk fast right
71	10021	50	10022	50	10023	50
#small walk fast left
72	10031	50	10032	50	10033	50
#small run right
73	81010	50	81012	50
#small run left
74	81006	50	81004	50

#tail walk fast right
75	17009	50	17010	50	17011	50
#tail walk fast left
76	17007	50	17006	50	17005	50
#tail run right
77	17012	50	17013	50
#tail run left
78	17004	50	17003	50

#fire walk fast right
79	11009 	50	11010	50	11011	50
#fire walk fast left
80	11007	50	11006	50	11005	50
#fire run right
81	11012	50	11013	50	11014	50
#fire run left
82	11004	50	11003	50	11002	50

#jump-fly tail right
83	20013	100	19013	100
#jump-fly tail left
84	20003	100	19003	100

#fall tail right  
85	23012	10
#fall tail left  
86	23004	10

#kick tail right
87	20015	100
#kick tail left
88	200010	100
#jump-fly big right
89	6002	100
#jump-fly big left
90	6014	100
#effect when eat item
91	25	100	26	100	27	100
#die
599	10099	100
# ==== FIRE-BALL =========
200	14	100	15	100	16	100	17	100

# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100

#no question
603	40005	100
# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100
#die by koopa
703	61	100
#para die
704	62	100
# ====== KOOPAS =======
#walk left
100	7	100	8	100
#walk right
110	5	100	6 	100
#die
120	9	100
#die and moving
130	9	100	10	100	11	100	12	100
#die up
140	13	100
# ====== KOOPAS PARATROOPA =======
#left
150	56	50	57	50	58	50	59	50
#right
151	52	50	53	50	54	50	55	50
# ====== Venus red =======
# red up left
3001	28	100	29	100
# red down left
3002	30	100	31	100
# red up right
3003	32	100	33	100
# red down right
3004	34	100	35	100
# ====== Venus green =======
#3005
#3006
#3007
#3008
# ====== Piranha green =======
#3009
#3010
#3011
#3012
# ====== Para goomba =======
#ready to fly
3013	44	100	45	100	46	100	47	100
# walking
3014	46	100	47	100
#fly
3015	44	50	45	50	46	50	47	50
#======= piece =======
6060	60	100
#############################################################################################
# id	ani1	ani2	ani3
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599	9	10	11 	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602	603
# GOOMBA
3	701	702	3013	3014	3015	703	704
# Background
4	1	222


# coin
5	1001
# koopas
6	100	110	120	130	140	150	151
# Fire Ball
7	200
# breakable brick
8	1002	1001	999	6060
# leaf + mushroom
9	1003	1004	1005
# venus
10	3001	3002	3003	3004
#switch block
11	998	997
#############################################################################################
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 4 = background, 5 = platform, 6 = coin, 3 = koopas, 7 = fire ball, 8 = tail of mario, 9 = breakable brick
# 
# --- platform (hint: I created the list using Excel!) ----

#---platform----
#type	left	top	ani_set_id	right	bottom	type

-------border platform----------------------------
5	2815	2	1	2830	441	1
5	1	3	1	-34	445	1	
-------bottom platform----------------------------
5	0	0	3	4	420	1
5	0	418	1	625	419	1
5	354	370	1	384	417	1
5	627	402	1	1088	433	1

5	1153	418	1	1505	433	1
5	1539	418	1	1617	434	1
5	1665	418	1	2241	433	1
5	2260	418	1	2817	434	1

5	1314	146	1	1378	177	1
---cloud platform----------------------------
5	1412	194	1	1474	210	1
5	1490	178	1	1698	193	1
--brick platform near question up---------------
5	1506	338	1	1538	354	1
---Brick platform
5	1569	401	1	1617	417	1
5	1587 	386	1	1617	401	1
5	1603	369	1	1617	385	1
5	1665	369	1	1682	417	1	
5	1682	386	1	1697	417	1
5	1697	401	1	1713	417	1

------2 green pipe platform--
5	1796	386	1	1824	417	1
5	1860	370	1	1888	418	1

------2 green pipe opposite each other platform----
5	2259	114	1	2289	321	1
5	2258	370	1	2288	417	1
------green pipe at the end platform----
5	2323	385	1	2352	417	1

----platform type two----
5	241	370	1	287	369	2
5	273	339	1	319	340	2
5	401	370	1	480	371	2
5	465	338	1	528	339	2
5	513	306	1	576	307	2
5	513	386	1	605	387	2
5	1266	386	1	1377	387	2
5	1297	354	1	1408	355	2
5	1329	322	1	1440	323	2
5	2145	370	1	2193	371	2
5	2177	274	1	2224	275	2
----------platform type three for KOOPAS----
5	512	373	1	514	383	3
5	607	373	1	608	383	3

5	2085	380	1	2086	387	3
5	2125	380	1	2126	387	3

5	1150	300	1	1151	400	3
# ---- background ---------rgb = 156 252 240
4	0	0	4	1
# ---- Tail ---------------
8	2700	400	2
# ---- MARIO---------------	
0	460	300	1
#fire ball
7	2500	300	7
7	2600	300	7
7	2700	300	7

#-----	QUESTION BRICK ----
#QB with coin effect
10	177	353	22
10	193	353	22
10	225	305	22
10	417	321	22
10	705	353	22

#Leaf-mushroom effect
11	1474	369	9	1
11	658	386	9	1
11	241	304	9	1

#QB with leaf-mushroom effect
10	657	386	22
10	1474	369	22
10	241	305	22

#coin effect
6	177	353	5	1
6	193	353	5	1
6	225	305	5	1
6	417	321	5	1
6	705	353	5	1




#-----	BREAKABLE BRICK ----
9	1953	403	8	1
9	1969	403	8	1
9	1985	403	8	1
9	2001	403	8	1
9	2017	403	8	1
9	2033	403	8	1
9	2049	403	8	1
9	1969	387	8	1
9	1985	387	8	1
9	2001	387	8	1
9	2017	387	8	1
9	2033	387	8	1
9	1985	371	8	1
9	2001	371	8	1
9	2017	371	8	1
9	2033	371	8	2

9	2097	403	8	1
9	2113	403	8	1
9	2097	387	8	1
# GOOMBA
2	100	300	3	1
2	480	400	3	1

2	900	300	3	1
2	800	300	3	1

#PARA GOOMBA
2	1000	300	3	2
# Coin
#id	x	y	ani_set		state(2=Appear, 1 = Disaapear)
6	1073	320	5	2
6	1105	288	5	2
6	1138	256	5	2

6	1170	224	5	2
6	1201	192	5	2

6	1329	81	5	2
6	1346	81	5	2
6	1362	81	5	2
	
6	1473 	112	5	2
6	1489	112	5	2

6	1537	128	5	2
6	1553	128	5	2
6	1569	128	5	2
6	1585	128	5	2

6	1617	112	5	2
6	1633	112	5	2
6	1649	112	5	2
6	1665	112	5	2

6	1697	145	5	2
6	1729	112	5	2
6	1762	128	5	2
6	1809	96	5	2
6	1841	128	5	2

#11	30	350	9	1
#11	60	300	9	2

#venus
#12 is venus and 4 is the picture of green pipe
12	364	370	10	2
4	354	369	4	2

#switch block
13	2033	355	11	1
	


#KOOPAS
#1 is koopas, 2 is koopa paratroopa
3	550	300	6	1
3	2070	300	6	1


#PARA KOOPA
3	1200	300	6	2
3	1300	350	6	2
3	1400	360	6	2
# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	316	150	2

